"";"title";"url";"description";"lng";"lat";"city";"street";"zip";"date_start";"date_end";"price";"time_start";"time_end";"organizer"
"19";" KRABBELKÄFER ";"http://www.familienzentrum-wuerzburg.de/termine/";"Krabbelgruppe für 0-2-Jährige und Eltern";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17561";"NA";"NA";"0.625";"0.708333333333333";"Familienzentrum Würzburg e.V."
"20";"CAFÉ KLEIN & GROSS ";"http://www.familienzentrum-wuerzburg.de/termine/";"Ausnahmsweise heute nur bis 17.30 Uhr!Thema: Mandalas malen";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17562";"NA";"NA";"0.645833333333333";"0.729166666666667";"Familienzentrum Würzburg e.V."
"21";"CAFÉ KLEIN & GROSS ";"http://www.familienzentrum-wuerzburg.de/termine/";"Thema: Frische Fische";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17563";"NA";"NA";"0.645833333333333";"0.770833333333333";"Familienzentrum Würzburg e.V."
"22";" SPIELMÄUSE ";"http://www.familienzentrum-wuerzburg.de/termine/";"Spielgruppe für 2-4-Jährige und Eltern";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17566";"NA";"NA";"0.645833333333333";"0.729166666666667";"Familienzentrum Würzburg e.V."
"23";"LINE DANCE A ";"http://www.familienzentrum-wuerzburg.de/termine/";"Tanzgruppe für Anfänger- LINE DANCE B, 20.00 - 21.30 UhrTanzgruppe für Fortgeschrittene";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17567";"NA";"NA";"0.770833333333333";"0.8125";"Familienzentrum Würzburg e.V."
"24";" KRABBELKÄFER ";"http://www.familienzentrum-wuerzburg.de/termine/";"Krabbelgruppe für 0-2-Jährige und Eltern";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17568";"NA";"NA";"0.625";"0.708333333333333";"Familienzentrum Würzburg e.V."
"25";"CAFÉ KLEIN & GROSS ";"http://www.familienzentrum-wuerzburg.de/termine/";"Thema: Bunte Regenbogen";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17569";"NA";"NA";"0.645833333333333";"0.770833333333333";"Familienzentrum Würzburg e.V."
"26";"CAFÉ KLEIN & GROSS ";"http://www.familienzentrum-wuerzburg.de/termine/";"Thema: Wäscheklammertierchen";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17570";"NA";"NA";"0.645833333333333";"0.770833333333333";"Familienzentrum Würzburg e.V."
"27";" SPIELMÄUSE ";"http://www.familienzentrum-wuerzburg.de/termine/";"Spielgruppe für 2-4-Jährige und Eltern- INFO-ABEND, 20.00 -22.00 Uhrfür Eltern, die sich für unsere Kinderkrippe interessieren";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17573";"NA";"NA";"0.645833333333333";"0.729166666666667";"Familienzentrum Würzburg e.V."
"28";"LINE DANCE A ";"http://www.familienzentrum-wuerzburg.de/termine/";"Tanzgruppe für Anfänger- LINE DANCE B, 20.00 - 21.30 UhrTanzgruppe für Fortgeschrittene";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17574";"NA";"NA";"0.770833333333333";"0.8125";"Familienzentrum Würzburg e.V."
