"date_start","date_end","time_start","time_end","title","description","price","city","street","zip","organizer","lat","lng","url"
2018-05-21,2018-05-21,20:00:00,NA,"Bigbandprobe (mD)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-05-22,2018-05-22,20:00:00,NA,"Chorprobe (mD)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
NA,NA,21:30:00,NA,"offenerBarabend",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-05-24,2018-05-24,20:00:00,NA,"Theaterprobe (mD)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-05-28,2018-05-28,20:00:00,NA,"Bigbandprobe (mD)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-05-29,2018-05-29,20:00:00,NA,"Chorprobe (mD)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
NA,NA,21:30:00,NA,"offenerBarabend",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-05-30,2018-05-30,19:00:00,NA,"Fuxenessen (io)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-05-31,2018-05-31,20:00:00,NA,"Theaterprobe (mD)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-06-02,2018-06-02,NA,NA,"Aktivenfahrt(io*)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-06-04,2018-06-04,20:00:00,NA,"Bigbandprobe (mD)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-06-05,2018-06-05,20:00:00,NA,"Chorprobe(mD)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
NA,NA,21:30:00,NA,"offenerBarabend",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-06-06,2018-06-06,20:00:00,NA,"Mittelkonvent(ho)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-06-07,2018-06-07,20:00:00,NA,"Theaterprobe (mD)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-06-08,2018-06-08,NA,NA,"SV-Fuxenwochenende bei e.v. AMV! Würzburg(iomD*)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-06-11,2018-06-11,20:00:00,NA,"Bigbandprobe (mD)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-06-12,2018-06-12,20:00:00,NA,"Chorprobe (mD)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
NA,NA,21:30:00,NA,"offenerBarabend",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-06-14,2018-06-14,20:00:00,NA,"Theaterprobe (mD)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-06-18,2018-06-18,20:00:00,NA,"Bigbandprobe (mD)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-06-19,2018-06-19,20:00:00,NA,"Chorprobe (mD)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
NA,NA,21:30:00,NA,"offenerBarabend",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-06-21,2018-06-21,20:00:00,NA,"Theaterprobe (mD)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-06-22,2018-06-22,18:00:00,NA,"Begrüßungsabend",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
NA,NA,20:15:00,NA,"Festkommers",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-06-23,2018-06-23,12:00:00,NA,"Plenarversammlung des AHV, im Anschluss Grillen",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
NA,NA,19:00:00,NA,"Festkonzert",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
